id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities_wifi_internet,amenities_tv,amenities_air_conditioning,amenities_heating,amenities_kitchen
5437,loft,entire_home_apt,2,1.0,0.0,1.0,real_bed,1,1,1,1,1
5438,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,0,0,1,1
5439,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5440,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5441,apartment,entire_home_apt,4,1.5,1.0,3.0,real_bed,1,1,1,1,1
5442,townhouse,private_room,2,1.0,1.0,1.0,real_bed,1,0,0,1,1
5443,loft,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5444,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5445,loft,entire_home_apt,3,1.0,1.0,1.0,real_bed,1,1,1,1,1
5446,apartment,private_room,1,2.0,1.0,1.0,real_bed,1,1,1,1,1
5447,apartment,private_room,2,1.5,1.0,2.0,real_bed,1,0,1,1,1
5448,apartment,entire_home_apt,4,1.0,2.0,2.0,real_bed,1,1,1,1,1
5449,apartment,entire_home_apt,4,2.0,2.0,2.0,real_bed,1,1,1,1,1
5450,apartment,entire_home_apt,6,1.0,2.0,3.0,real_bed,1,1,1,1,1
5451,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5452,condominium,private_room,1,1.0,1.0,1.0,real_bed,1,0,0,1,1
5453,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5454,apartment,private_room,4,1.5,2.0,3.0,real_bed,1,1,0,1,1
5455,house,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5456,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
5457,apartment,entire_home_apt,4,1.0,2.0,2.0,real_bed,1,1,1,1,1
5458,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
5459,apartment,private_room,1,2.0,1.0,1.0,real_bed,1,1,1,1,1
5460,apartment,private_room,2,1.5,1.0,1.0,real_bed,1,1,0,1,1
5461,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,1,0,1,1
5462,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,1,0,0,1
5463,apartment,entire_home_apt,8,1.0,3.0,4.0,real_bed,1,1,0,1,1
5464,apartment,private_room,1,1.0,1.0,1.0,real_bed,0,0,0,0,0
5465,apartment,entire_home_apt,4,1.0,2.0,2.0,real_bed,1,1,1,1,1
5466,apartment,entire_home_apt,4,1.0,1.0,1.0,real_bed,1,1,1,1,1
5467,apartment,entire_home_apt,8,2.0,3.0,4.0,real_bed,1,1,1,1,1
5468,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5469,apartment,private_room,2,1.0,1.0,2.0,real_bed,1,1,0,1,1
5470,loft,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5471,apartment,entire_home_apt,3,1.0,1.0,3.0,real_bed,1,0,1,1,1
5472,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5473,apartment,entire_home_apt,2,1.5,1.0,3.0,real_bed,1,0,1,1,1
5474,loft,entire_home_apt,10,2.0,3.0,3.0,real_bed,1,1,0,1,1
5475,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,0,0,1,1
5476,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5477,loft,entire_home_apt,2,1.0,0.0,1.0,real_bed,1,1,1,1,1
5478,apartment,entire_home_apt,4,1.5,1.0,2.0,real_bed,1,1,1,1,1
5479,apartment,entire_home_apt,4,1.0,2.0,3.0,real_bed,1,1,1,1,1
5480,apartment,entire_home_apt,4,1.0,1.0,1.0,real_bed,1,1,0,1,1
5481,apartment,entire_home_apt,4,2.0,2.0,2.0,real_bed,1,1,1,1,1
5482,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,0,0,0,1
5483,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5484,apartment,entire_home_apt,6,1.0,3.0,6.0,real_bed,1,1,1,1,1
5485,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,0,0,1,1
5486,apartment,entire_home_apt,4,1.0,1.0,3.0,real_bed,1,1,1,1,1
5487,apartment,entire_home_apt,6,2.0,2.0,3.0,real_bed,1,1,1,1,1
